Coords,Mags F555,Mags F336,Aperture Radius
"(160, 504)",21.87983118052908,19.577317369415063,8
"(339, 504)",22.747441781610085,21.108544917397644,8
"(337, 505)",22.99444606915278,21.032690964944273,8
"(341, 505)",24.279674312077674,21.08663022487778,8
"(339, 506)",22.917967758443595,20.94354723915729,8
"(535, 506)",24.157556762979304,21.148237882701437,8
"(341, 507)",22.891605586274103,20.973926474138125,8
"(338, 508)",23.07178840143098,20.893000624840518,8
"(449, 508)",22.362463712830568,20.15298535303335,8
"(499, 508)",25.086083646626044,21.056625221771725,8
"(522, 508)",24.1088723536714,21.216722212019576,8
"(773, 508)",22.84726360313288,20.62792460499802,8
"(499, 510)",24.094311659974373,21.056625221771725,8
"(733, 510)",21.163613296268373,19.21926571099273,8
"(202, 513)",23.376794455406646,21.47881164356746,8
"(106, 515)",22.982249496106917,21.041934735226725,8
"(651, 515)",22.832107738342792,20.388533434966952,8
"(557, 516)",22.424778171489443,20.14781652492156,8
"(106, 517)",23.173436022965525,21.041934735226725,8
"(290, 519)",22.451630002141584,20.588335467322445,8
"(517, 519)",22.238978455101076,20.276373276152626,8
"(519, 519)",21.818301277875698,19.745223775719502,8
"(477, 520)",22.144100701429423,20.237617143250326,8
"(479, 520)",22.029908802541968,20.444468190311106,8
"(495, 520)",19.42628611983578,17.862579184481454,8
"(497, 520)",19.47788312283985,17.917469645925046,8
"(630, 520)",22.669037701698564,20.293635957818317,8
"(483, 521)",23.02019067145813,22.053144471591814,8
